Protocol/Token,Chain,Tags,Pendle_APY,TVL,DeFiLlama_APY,DeFiLlama_Match,Portals_APY
sUSDai,ARB,"stables, rwa, points",5.34%,$15.9M,5.67%,usd-ai | SUSDAI,5.67%
sUSDC.e,ARB,stables,,,,,
sUSDe,ETH,"points, stables",3.51%,$23.4M,3.53%,ethena-usde | SUSDE,2.07%
sUSDe,BSC,"stables, points, ethena",4.33%,$0.0M,,venus-core-pool | SUSDE,
sUSDe,999,"stables, points, ethena",,,,,
sUSDe,9745,"stables, ethena, points",,,,,
sUSDe,80094,"stables, points, ethena",,,,,
sUSDe (Bera Concrete),ETH,"stables, points, ethena",,,,,
sUSDf,ETH,"stables, points",5.47%,$1.9M,5.47%,falcon-finance | SUSDF,
sUSDS,ETH,"stables, rwa",5.81%,$0.0M,3.75%,sky-lending | SUSDS,
sUSDS,ARB,stables,4.75%,$0.0M,3.75%,sky-lending | SUSDS,3.75%
sUSDu,BSC,"stables, points",11.66%,$0.6M,10.10%,pendle | SUSDU,
sUSDX,BSC,"stables, points",5.29%,$0.0M,,lista-cdp | SUSDX,
sUSDz,BASE,"stables, rwa",,,,,
sUSN,ETH,"stables, points",,,,,
sUSP,ETH,"stables, points, rwa",,,,,
syrupUSDC,ETH,"stables, points, rwa",4.19%,$0.1M,4.27%,maple | USDC,
syrupUSDC,ARB,"stables, rwa",5.45%,$0.0M,,morpho-v1 | SYRUPUSDC,4.28%
syrupUSDT,9745,"stables, rwa",,,,,
sYUSD,ETH,"points, stables",0.37%,$2.2M,3.55%,aegis | YUSD,0.62%
syzUSD,9745,"stables, points",,,,,
thBILL,ARB,"points, stables, rwa",,,,,
tmvUSDT0,9745,stables,,,,,
tUSDe,ETH,"stables, points, ethena",0.00%,$0.0M,,,
upUSDC,ETH,"stables, points",30.01%,$0.0M,9.09%,upshift | UPUSDC,
USD (Midas mAPOLLO),ETH,"points, stables",,,,,
USD (Midas mEDGE),ETH,"stables, points",,,,,
USD (Midas mFARM),ETH,"stables, points",,,,,
USD (Midas mHYPER),ETH,"stables, points",,,,,
USD (Midas mHYPER),9745,"stables, points",,,,,
USD (Midas mMEV),ETH,"stables, points",,,,,
USD (Midas mRe7YIELD),ETH,stables,,,,,
USD0++,ETH,"stables, points, rwa",0.00%,$0.0M,,,
USD3,ETH,"stables, points, rwa",0.00%,$1.6M,7.78%,3jane-lending | SUSD3,
USDaf,ETH,"stables, points",0.00%,$0.0M,,,
USDai,9745,"stables, rwa, points",,,,,
USDai,ARB,"stables, points, rwa",0.00%,$1.7M,,,
USDC-Euler Yield,ETH,stables,,,,,
USDC-Silo20,SONIC,"stables, points",,,,,
USDe,ETH,"points, stables",0.00%,$0.5M,,,
USDe,BSC,"ethena, stables, points",0.00%,$0.1M,,,
USDe,999,"ethena, stables, points",,,,,
USDe,MNT,"points, stables",,,,,
USDe,BASE,"points, stables, ethena",,,,,
USDe,9745,"points, stables, ethena",,,,,
USDe,ARB,"points, stables",0.00%,$0.2M,,,
USDe,80094,"ethena, stables, points",,,,,
USDe (Bera Concrete),ETH,"stables, points, ethena",,,,,
USDf,ETH,"stables, points",0.00%,$0.1M,,,
USDF,BSC,"stables, points",0.00%,$0.2M,,,
USDG,ETH,"stables, rwa, _featured",3.09%,$74.9M,5.40%,pendle | USDG,0.26%
USDS,ETH,"stables, rwa",3.77%,$0.3M,,sparklend | SUSDS,
USDS-SPK,ETH,stables,,,,,
USN,ETH,"stables, points",,,,,
USP,ETH,"stables, points",,,,,
USR,ETH,"stables, points",,,,,
USR,BSC,"points, stables",,,,,
USR,BASE,"stables, points",,,,,
vyUSD,ETH,"stables, points",9.77%,$0.0M,,yieldfi | YUSD,
wcgUSD,BASE,"stables, points",,,,,
wNLP,999,"points, stables",,,,,
WOUSD,ETH,stables,3.17%,$0.0M,4.84%,origin-dollar | OUSD,
wsrUSD,ETH,"stables, points",4.92%,$0.0M,4.75%,reservoir-protocol | SRUSD,
wstkscUSD,SONIC,"stables, points",,,,,
wstUSR,ETH,"stables, points",,,,,
wstUSR,9745,"stables, points",,,,,
wstUSR,ARB,"stables, points",,,,,
wVLP,999,"stables, points",,,,,
xHYPE,999,stables,,,,,
xUSD,ETH,"stables, points",16.41%,$0.0M,,,
ynRWAx,ETH,"stables, rwa",,,,,
ynUSDx,ETH,stables,5.12%,$0.0M,5.10%,yieldnest | YNUSDX,5.11%
yoEUR,BASE,"stables, points",,,,,
yoUSD,BASE,"stables, points",,,,,
ysUSDC,ETH,"stables, points",5.43%,$0.0M,,,
ysyBOLD,ETH,stables,,,,,
YU,ETH,"stables, points",,,,,
YU,BASE,"stables, points",,,,,
yUSD,ETH,"stables, points",9.06%,$0.0M,,yieldfi | YUSD,0.62%
yvBal-GHO-USR,BASE,"points, stables",,,,,
yzUSD,9745,"stables, points",,,,,
