Protocol/Token,Chain,Tags,Pendle_APY,TVL,DeFiLlama_APY,DeFiLlama_Match,Portals_APY
uniBTC,80094,"btc, points",,,,,
uniBTC (Corn Concrete),ETH,"btc, points",,,,,
uniETH,ETH,"points, eth",,,,,
uniETH,ARB,"points, eth",,,,,
uptBTC,ETH,"btc, points",,,,,
upUSDC,ETH,"stables, points",30.01%,$0.0M,9.09%,upshift | UPUSDC,
USD (Midas mAPOLLO),ETH,"points, stables",,,,,
USD (Midas mEDGE),ETH,"stables, points",,,,,
USD (Midas mFARM),ETH,"stables, points",,,,,
USD (Midas mHYPER),ETH,"stables, points",,,,,
USD (Midas mHYPER),9745,"stables, points",,,,,
USD (Midas mMEV),ETH,"stables, points",,,,,
USD (Midas mRe7BTC),ETH,btc,,,,,
USD (Midas mRe7YIELD),ETH,stables,,,,,
USD0++,ETH,"stables, points, rwa",0.00%,$0.0M,,,
USD3,ETH,"stables, points, rwa",0.00%,$1.6M,7.78%,3jane-lending | SUSD3,
USDaf,ETH,"stables, points",0.00%,$0.0M,,,
USDai,9745,"stables, rwa, points",,,,,
USDai,ARB,"stables, points, rwa",0.00%,$1.7M,,,
USDC-Euler Yield,ETH,stables,,,,,
USDC-Silo20,SONIC,"stables, points",,,,,
USDe,ETH,"points, stables",0.00%,$0.5M,,,
USDe,BSC,"ethena, stables, points",0.00%,$0.1M,,,
USDe,999,"ethena, stables, points",,,,,
USDe,MNT,"points, stables",,,,,
USDe,BASE,"points, stables, ethena",,,,,
USDe,9745,"points, stables, ethena",,,,,
USDe,ARB,"points, stables",0.00%,$0.2M,,,
USDe,80094,"ethena, stables, points",,,,,
USDe (Bera Concrete),ETH,"stables, points, ethena",,,,,
USDf,ETH,"stables, points",0.00%,$0.1M,,,
USDF,BSC,"stables, points",0.00%,$0.2M,,,
USDG,ETH,"stables, rwa, _featured",3.09%,$74.9M,5.40%,pendle | USDG,0.26%
USDS,ETH,"stables, rwa",3.77%,$0.3M,,sparklend | SUSDS,
USDS-SPK,ETH,stables,,,,,
USN,ETH,"stables, points",,,,,
USP,ETH,"stables, points",,,,,
USR,ETH,"stables, points",,,,,
USR,BSC,"points, stables",,,,,
USR,BASE,"stables, points",,,,,
USUALX,ETH,others,,,,,
vAMM-VIRTUAL/cbBTC,BASE,others,,,,,
vBNB,BSC,others,,,,,
vkHYPE,999,hype,,,,,
vyUSD,ETH,"stables, points",9.77%,$0.0M,,yieldfi | YUSD,
wanS,SONIC,"points, others",,,,,
wBETH,BSC,eth,,,,,
WBTC (Bera Concrete),ETH,"btc, points",,,,,
wcgUSD,BASE,"stables, points",,,,,
weETH,ETH,"points, eth",,,,,
weETH,BSC,"points, eth",,,,,
weETH,ARB,"points, eth",,,,,
weETH,80094,"points, eth",,,,,
weETHk,ETH,"points, eth",,,,,
weETHs,ETH,"points, eth",,,,,
wHLP,999,"points, others",,,,,
WHLP,999,"points, others",,,,,
WMNT,MNT,points,,,,,
wNLP,999,"points, stables",,,,,
wOETH,ETH,eth,,,,,
wOS,SONIC,"points, others",,,,,
WOUSD,ETH,stables,3.17%,$0.0M,4.84%,origin-dollar | OUSD,
wsrUSD,ETH,"stables, points",4.92%,$0.0M,4.75%,reservoir-protocol | SRUSD,
wstETH,ETH,eth,,,,,
wstETH,OP,eth,,,,,
wstETH,ARB,eth,,,,,
wstETH-WETH,ETH,eth,,,,,
wstkscETH,SONIC,"points, eth",,,,,
wstkscUSD,SONIC,"stables, points",,,,,
wstOBOL,ETH,others,,,,,
wstUSDN,ETH,others,13.53%,$0.0M,11.68%,smardex-usdn | USDN,
wstUSR,ETH,"stables, points",,,,,
wstUSR,9745,"stables, points",,,,,
wstUSR,ARB,"stables, points",,,,,
wsuperOETHb,BASE,eth,,,,,
wVLP,999,"stables, points",,,,,
x33,SONIC,others,,,,,
xHYPE,999,stables,,,,,
xSILO,SONIC,"others, points",,,,,
xSolvBTC,ETH,"btc, points",,,,,
xSolvBTC,BSC,"btc, points",,,,,
xUSD,ETH,"stables, points",16.41%,$0.0M,,,
ynBNBx,BSC,others,,,,,
ynRWAx,ETH,"stables, rwa",,,,,
ynUSDx,ETH,stables,5.12%,$0.0M,5.10%,yieldnest | YNUSDX,5.11%
yoETH,BASE,"points, eth",,,,,
yoEUR,BASE,"stables, points",,,,,
yoUSD,BASE,"stables, points",,,,,
ysETH,ETH,"eth, points",,,,,
ysUSDC,ETH,"stables, points",5.43%,$0.0M,,,
ysyBOLD,ETH,stables,,,,,
YU,ETH,"stables, points",,,,,
YU,BASE,"stables, points",,,,,
yUSD,ETH,"stables, points",9.06%,$0.0M,,yieldfi | YUSD,0.62%
yvBal-GHO-USR,BASE,"points, stables",,,,,
yzUSD,9745,"stables, points",,,,,
z0BTCeBTC,ETH,"btc, points",,,,,
