Pendle Markets — 352 unique names (fetched 2026-03-27)
======================================================================
For research only — identify mezzanine protocols to add.
======================================================================

savUSD                                   | ETH    | stables, points
sBOLD                                    | ETH    | stables
scETH                                    | ETH    | eth, others
scrvUSD                                  | ETH    | stables
scrvUSD-CRV                              | ETH    | stables
scUSD-Silo46                             | SONIC  | stables, points
sDAI                                     | ETH    | stables, rwa
sDOLA                                    | ETH    | stables
sENA                                     | ETH    | points, others, ethena
sETH                                     | ARB    | eth
sETH (PT-eETHSilo)                       | ARB    | points, eth
sETH (PT-ezETHSilo)                      | ARB    | points, eth
sETH (PT-rsETHSilo)                      | ARB    | points, eth
sFRAX                                    | ETH    | stables
sfrxETH                                  | ETH    | eth
sfrxUSD                                  | ETH    | stables
sGHO                                     | ETH    | stables
SIERRA                                   | ETH    | stables, points, rwa
sigmaSP                                  | BSC    | stables, points
siUSD                                    | ETH    | stables, points
sKAITO                                   | BASE   | others
slisBNB                                  | BSC    | others
slisBNBx                                 | BSC    | others
slpETH                                   | ETH    | eth, points
slvlUSD                                  | ETH    | stables, points
sNUSD                                    | ETH    | stables, points
SolvBTC.BERA                             | ETH    | btc, points
SolvBTC.BNB                              | BSC    | btc, points
spETH                                    | ETH    | eth, points
splUSD                                   | 9745   | stables
spSilo                                   | ARB    | others
sreUSD                                   | ETH    | stables
srNUSD                                   | ETH    | stables, points
srUSDe                                   | ETH    | stables, points, ethena
StaFirETH-WETH BLP                       | ETH    | eth
stcUSD                                   | ETH    | stables, points
steakLRT                                 | ETH    | points, eth
stEUR                                    | ETH    | stables
sThUSD                                   | ETH    | rwa, stables
stHYPE                                   | 999    | hype, points
stHYPE AMM LP                            | 999    | hype, points
stk-ePendle                              | ARB    | others
stkaUSDC                                 | ETH    | stables
stkaUSDT                                 | ETH    | stables
stkGHO                                   | ETH    | stables
strETH                                   | ETH    | eth, points
stS                                      | SONIC  | points, others
stTAO                                    | ETH    | 
stUSDS                                   | ETH    | stables
SuperETH                                 | ETH    | eth, points
superUSDC                                | ETH    | stables, points
SuperUSDC                                | ETH    | stables, points
superWETH                                | ETH    | points, eth
sUSDa                                    | ETH    | stables
sUSDaf                                   | ETH    | points, stables
sUSDai                                   | 9745   | points, stables, rwa
sUSDai                                   | ARB    | stables, rwa, points
sUSDC.e                                  | ARB    | stables
sUSDe                                    | ETH    | points, stables
sUSDe                                    | BSC    | stables, points, ethena
sUSDe                                    | 999    | stables, points, ethena
sUSDe                                    | 9745   | stables, ethena, points
sUSDe                                    | 80094  | stables, points, ethena
sUSDe (Bera Concrete)                    | ETH    | stables, points, ethena
sUSDf                                    | ETH    | stables, points
sUSDS                                    | ETH    | stables, rwa
sUSDS                                    | ARB    | stables
sUSDu                                    | BSC    | stables, points
sUSDX                                    | BSC    | stables, points
sUSDz                                    | BASE   | stables, rwa
sUSN                                     | ETH    | stables, points
sUSP                                     | ETH    | stables, points, rwa
swETH                                    | ETH    | eth
swETH-bbaWETH BPT                        | ETH    | eth
swETH-bbaWETH BPT [Old]                  | ETH    | eth
syrupUSDC                                | ETH    | stables, points, rwa
syrupUSDC                                | ARB    | stables, rwa
syrupUSDT                                | 9745   | stables, rwa
sYUSD                                    | ETH    | points, stables
syzUSD                                   | 9745   | stables, points
tBTC                                     | ETH    | btc, points
tETH                                     | ETH    | eth, points
thBILL                                   | ARB    | points, stables, rwa
tmvUSDT0                                 | 9745   | stables
tUSDe                                    | ETH    | stables, points, ethena
uniBTC                                   | ETH    | btc, points
uniBTC                                   | BSC    | btc, points
uniBTC                                   | BASE   | btc, points
uniBTC                                   | 80094  | btc, points
uniBTC (Corn Concrete)                   | ETH    | btc, points
uniETH                                   | ETH    | points, eth
uniETH                                   | ARB    | points, eth
uptBTC                                   | ETH    | btc, points
upUSDC                                   | ETH    | stables, points
USD (Midas mAPOLLO)                      | ETH    | points, stables
USD (Midas mEDGE)                        | ETH    | stables, points
USD (Midas mFARM)                        | ETH    | stables, points
USD (Midas mHYPER)                       | ETH    | stables, points
USD (Midas mHYPER)                       | 9745   | stables, points
USD (Midas mMEV)                         | ETH    | stables, points
USD (Midas mRe7BTC)                      | ETH    | btc
USD (Midas mRe7YIELD)                    | ETH    | stables
USD0++                                   | ETH    | stables, points, rwa
USD3                                     | ETH    | stables, points, rwa
USDaf                                    | ETH    | stables, points
USDai                                    | 9745   | stables, rwa, points
USDai                                    | ARB    | stables, points, rwa
USDC-Euler Yield                         | ETH    | stables
USDC-Silo20                              | SONIC  | stables, points
USDe                                     | ETH    | points, stables
USDe                                     | BSC    | ethena, stables, points
USDe                                     | 999    | ethena, stables, points
USDe                                     | MNT    | points, stables
USDe                                     | BASE   | points, stables, ethena
USDe                                     | 9745   | points, stables, ethena
USDe                                     | ARB    | points, stables
USDe                                     | 80094  | ethena, stables, points
USDe (Bera Concrete)                     | ETH    | stables, points, ethena
USDf                                     | ETH    | stables, points
USDF                                     | BSC    | stables, points
USDG                                     | ETH    | stables, rwa, _featured
USDS                                     | ETH    | stables, rwa
USDS-SPK                                 | ETH    | stables
USN                                      | ETH    | stables, points
USP                                      | ETH    | stables, points
USR                                      | ETH    | stables, points
USR                                      | BSC    | points, stables
USR                                      | BASE   | stables, points
USUALX                                   | ETH    | others
vAMM-VIRTUAL/cbBTC                       | BASE   | others
vBNB                                     | BSC    | others
vkHYPE                                   | 999    | hype
vyUSD                                    | ETH    | stables, points
wanS                                     | SONIC  | points, others
wBETH                                    | BSC    | eth
WBTC (Bera Concrete)                     | ETH    | btc, points
wcgUSD                                   | BASE   | stables, points
weETH                                    | ETH    | points, eth
weETH                                    | BSC    | points, eth
weETH                                    | ARB    | points, eth
weETH                                    | 80094  | points, eth
weETHk                                   | ETH    | points, eth
weETHs                                   | ETH    | points, eth
wHLP                                     | 999    | points, others
WHLP                                     | 999    | points, others
WMNT                                     | MNT    | points
wNLP                                     | 999    | points, stables
wOETH                                    | ETH    | eth
wOS                                      | SONIC  | points, others
WOUSD                                    | ETH    | stables
wsrUSD                                   | ETH    | stables, points
wstETH                                   | ETH    | eth
wstETH                                   | OP     | eth
wstETH                                   | ARB    | eth
wstETH-WETH                              | ETH    | eth
wstkscETH                                | SONIC  | points, eth
wstkscUSD                                | SONIC  | stables, points
wstOBOL                                  | ETH    | others
wstUSDN                                  | ETH    | others
wstUSR                                   | ETH    | stables, points
wstUSR                                   | 9745   | stables, points
wstUSR                                   | ARB    | stables, points
wsuperOETHb                              | BASE   | eth
wVLP                                     | 999    | stables, points
x33                                      | SONIC  | others
xHYPE                                    | 999    | stables
xSILO                                    | SONIC  | others, points
xSolvBTC                                 | ETH    | btc, points
xSolvBTC                                 | BSC    | btc, points
xUSD                                     | ETH    | stables, points
ynBNBx                                   | BSC    | others
ynRWAx                                   | ETH    | stables, rwa
ynUSDx                                   | ETH    | stables
yoETH                                    | BASE   | points, eth
yoEUR                                    | BASE   | stables, points
yoUSD                                    | BASE   | stables, points
ysETH                                    | ETH    | eth, points
ysUSDC                                   | ETH    | stables, points
ysyBOLD                                  | ETH    | stables
YU                                       | ETH    | stables, points
YU                                       | BASE   | stables, points
yUSD                                     | ETH    | stables, points
yvBal-GHO-USR                            | BASE   | points, stables
yzUSD                                    | 9745   | stables, points
z0BTCeBTC                                | ETH    | btc, points
