Protocol,Token(s),Chains,Num_Chains,Tags,Pendle_APY,DeFiLlama_APY,Portals_APY,TVL
sUSDC.e,sUSDC.e,ARB,1,stables,,,,
sUSDe,sUSDe,"80094,9745,999",3,"ethena,points,stables",,,,
sUSDe (Bera Concrete),sUSDe (Bera Concrete),ETH,1,"ethena,points,stables",,,,
sUSDz,sUSDz,BASE,1,"rwa,stables",,,,
sUSN,sUSN,ETH,1,"points,stables",,,,
sUSP,sUSP,ETH,1,"points,rwa,stables",,,,
syrupUSDT,syrupUSDT,9745,1,"rwa,stables",,,,
syzUSD,syzUSD,9745,1,"points,stables",,,,
Terminal,tUSDe,ETH,1,"ethena,points,stables",0.0%,,,
Tharwa,sThUSD,ETH,1,"rwa,stables",14.6%,,,$0.1M
thBILL,thBILL,ARB,1,"points,rwa,stables",,,,
tmvUSDT0,tmvUSDT0,9745,1,stables,,,,
Unitas ,sUSDu,BSC,1,"points,stables",11.7%,10.1%,,$0.6M
Upshift Finance,upUSDC,ETH,1,"points,stables",30.0%,9.1%,,
USD (Midas mAPOLLO),USD (Midas mAPOLLO),ETH,1,"points,stables",,,,
USD (Midas mEDGE),USD (Midas mEDGE),ETH,1,"points,stables",,,,
USD (Midas mFARM),USD (Midas mFARM),ETH,1,"points,stables",,,,
USD (Midas mHYPER),USD (Midas mHYPER),"9745,ETH",2,"points,stables",,,,
USD (Midas mMEV),USD (Midas mMEV),ETH,1,"points,stables",,,,
USD (Midas mRe7YIELD),USD (Midas mRe7YIELD),ETH,1,stables,,,,
USD.AI,sUSDai,ARB,1,"points,rwa,stables",5.3%,5.7%,5.7%,$15.9M
USD.ai,USDai,ARB,1,"points,rwa,stables",0.0%,,,$1.7M
USDai,USDai,9745,1,"points,rwa,stables",,,,
USDC-Euler Yield,USDC-Euler Yield,ETH,1,stables,,,,
USDC-Silo20,USDC-Silo20,SONIC,1,"points,stables",,,,
USDe,USDe,"80094,9745,999,BASE,MNT",5,"ethena,points,stables",,,,
USDe (Bera Concrete),USDe (Bera Concrete),ETH,1,"ethena,points,stables",,,,
USDS-SPK,USDS-SPK,ETH,1,stables,,,,
usdx.money,sUSDX,BSC,1,"points,stables",5.3%,,,
USN,USN,ETH,1,"points,stables",,,,
USP,USP,ETH,1,"points,stables",,,,
USR,USR,"BASE,BSC,ETH",3,"points,stables",,,,
Usual,USD0++,ETH,1,"points,rwa,stables",0.0%,,,
wcgUSD,wcgUSD,BASE,1,"points,stables",,,,
wNLP,wNLP,999,1,"points,stables",,,,
wstkscUSD,wstkscUSD,SONIC,1,"points,stables",,,,
